,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
102,The Nutty Professor,273961019.0,54000000.0,25411725.0,5.6,95,105786.0,1.85
103,Daylight,126189000.0,80000000.0,10014795.0,5.9,114,63525.0,1.85
104,Phenomenon,152036382.0,32000000.0,16200000.0,6.4,123,72684.0,2.35
105,A Time to Kill,152266007.0,40000000.0,19630000.0,7.5,149,124345.0,2.39
106,Fled,2800000.0,25000000.0,5405000.0,5.4,98,8253.0,1.85
107,The First Wives Club,181489203.0,26000000.0,18913411.0,6.4,103,40817.0,1.66
108,Ransom,309492681.0,80000000.0,34216088.0,6.6,121,114478.0,1.85
109,Chain Reaction,38200000.0,50000000.0,7546000.0,5.7,107,46559.0,1.85
110,The Crow: City of Angels,7500000.0,13000000.0,9785111.0,4.7,84,18558.0,1.85
111,Tin Cup,75900000.0,45000000.0,10128834.0,6.4,135,44455.0,2.35
112,The Godfather,245066411.0,6000000.0,223758.0,9.2,175,1519960.0,1.37
113,The Island of Dr. Moreau,42000000.0,40000000.0,9101987.0,4.6,96,29987.0,2.35
114,Rear Window,36888916.0,1000000.0,15172.0,8.4,112,419375.0,1.37
115,Gone with the Wind,400176459.0,3977000.0,1192593.0,8.1,238,275024.0,1.75
116,2001: A Space Odyssey,190700000.0,12000000.0,202759.0,8.3,149,570705.0,2.20
117,Giant,762459.0,5400000.0,5649.0,7.6,201,32399.0,1.66
118,Night of the Living Dead,30000000.0,114000.0,5452.0,7.9,96,110241.0,1.37
119,Maximum Risk,51702483.0,25000000.0,5611707.0,5.5,101,19328.0,2.35
120,Last Man Standing,33200000.0,67000000.0,7010331.0,6.4,101,51704.0,2.35
121,The Glimmer Man,16000000.0,45000000.0,7605504.0,5.4,91,18137.0,1.85
122,The Chamber,7989000.0,50000000.0,5612095.0,6.0,113,12228.0,2.39
123,Robin Hood: Prince of Thieves,390493908.0,48000000.0,25625602.0,6.9,143,171692.0,1.66
124,Die Hard,140767956.0,28000000.0,601851.0,8.2,132,752195.0,2.20
125,That Thing You Do!,34585416.0,26000000.0,6208595.0,6.9,108,59349.0,1.37
126,Everyone Says I Love You,16104765.0,20000000.0,131678.0,6.7,101,34306.0,1.85
127,Romeo + Juliet,147554998.0,14500000.0,11133231.0,6.7,120,202384.0,2.35
128,Sleepers,165615285.0,44000000.0,12305745.0,7.6,147,180474.0,2.35
129,Dial M for Murder,6540000.0,1400000.0,12562.0,8.2,105,147626.0,1.66
130,Dirty Dancing,170000000.0,6000000.0,162378.0,7.0,100,189418.0,1.85
131,Reservoir Dogs,14831693.0,1200000.0,147839.0,8.3,99,872933.0,2.35
132,E.T. the Extra-Terrestrial,792910554.0,10500000.0,14223110.0,7.8,115,353022.0,1.85
133,Top Gun,356830601.0,15000000.0,1965737.0,6.9,110,276134.0,1.33
134,The Abyss,90000098.0,70000000.0,9319797.0,7.6,171,156462.0,2.20
135,Escape from New York,50000000.0,6000000.0,4162000.0,7.2,99,118033.0,2.35
136,The English Patient,134700000.0,27000000.0,278439.0,7.4,162,171763.0,1.85
137,Madonna: Truth or Dare,29012935.0,4500000.0,543250.0,6.4,120,8443.0,1.85
138,One Flew Over the Cuckoo's Nest,11930050.0,4400000.0,99761.0,8.7,133,869394.0,1.85
139,The Empire Strikes Back,247916602.0,18000000.0,10840307.0,8.7,124,1106255.0,2.20
140,Raiders of the Lost Ark,389925971.0,18000000.0,1673731.0,8.4,115,845158.0,2.20
141,Aliens,131060248.0,18500000.0,10052042.0,8.3,137,624975.0,1.85
142,Return of the Jedi,165800000.0,32500000.0,16293531.0,8.3,131,907042.0,2.20
143,Army of Darkness,21502976.0,11000000.0,4424000.0,7.5,81,156924.0,1.85
144,Once Upon a Time in America,8157411.0,30000000.0,2412014.0,8.4,229,292846.0,1.85
145,Dead Poets Society,140000000.0,16400000.0,340456.0,8.1,128,395189.0,1.85
146,The Graduate,114945305.0,3000000.0,873.0,8.0,106,245189.0,2.35
147,Unforgiven,159157447.0,14400000.0,15018007.0,8.2,130,356837.0,2.35
148,Back to the Future,381109762.0,19000000.0,11332134.0,8.5,116,987519.0,1.37
149,Fantasia,187924.0,2280000.0,6047613.0,7.8,125,84723.0,1.37
150,Indiana Jones and the Last Crusade,474171806.0,48000000.0,29400000.0,8.2,127,660875.0,2.20
151,Alien³,159773600.0,50000000.0,23141188.0,6.5,114,265584.0,2.20
152,The Mirror Has Two Faces,73052428.0,42000000.0,12210868.0,6.6,126,14548.0,1.85
153,Star Trek: First Contact,150000000.0,45000000.0,30716131.0,7.6,111,114046.0,2.39
154,101 Dalmatians,320689294.0,75000000.0,45073479.0,5.7,103,96812.0,2.20
155,Die Hard 2,240031094.0,70000000.0,21744661.0,7.2,124,323759.0,2.20
156,Star Trek: The Motion Picture,139000000.0,46000000.0,11926421.0,6.4,132,77947.0,2.20
157,Star Trek V: The Final Frontier,70210000.0,27800000.0,17300000.0,5.5,107,53781.0,2.20
158,Star Trek II: The Wrath of Khan,97000000.0,11200000.0,14347221.0,7.7,113,108599.0,2.20
159,Star Trek III: The Search for Spock,87000000.0,17000000.0,16673229.0,6.7,105,71535.0,2.20
160,Star Trek IV: The Voyage Home,133000000.0,25000000.0,16881888.0,7.3,119,75406.0,2.20
161,Batman Returns,120000000.0,80000000.0,45687711.0,7.0,126,263381.0,1.85
162,Grease,394955690.0,6000000.0,60759.0,7.2,110,223311.0,2.20
163,Marked for Death,57968936.0,12000000.0,11790047.0,6.0,93,18785.0,2.35
164,Jaws,470653000.0,8000000.0,7061513.0,8.0,124,524748.0,2.35
165,Jaws 3-D,87987055.0,20500000.0,13422500.0,3.7,99,37450.0,2.39
166,Mars Attacks!,101371017.0,70000000.0,9384272.0,6.3,106,202833.0,2.39
167,Jerry Maguire,273552592.0,50000000.0,17084296.0,7.3,139,231036.0,1.85
168,Scream,173046663.0,14000000.0,6354586.0,7.2,111,272590.0,2.35
169,Evita,91000000.0,55000000.0,8381055.0,6.3,135,32932.0,2.39
170,Murder at 1600,41126788.0,40000000.0,7962268.0,6.1,107,27571.0,1.85
171,Metro,74387563.0,55000000.0,11411107.0,5.5,117,24782.0,2.35
172,Dante's Peak,178127760.0,116000000.0,18479435.0,5.9,108,77177.0,2.39
173,Fools Rush In,12100000.0,20000000.0,9714940.0,6.0,109,31362.0,1.85
174,Donnie Brasco,124909762.0,35000000.0,11660216.0,7.7,127,264048.0,2.35
175,The Saint,108060970.0,68000000.0,16278873.0,6.2,116,60081.0,2.35
176,Liar Liar,302710615.0,45000000.0,31423025.0,6.9,86,270080.0,1.85
177,The Devil's Own,97939199.0,86000000.0,18063265.0,6.2,111,56104.0,2.39
178,Turbo: A Power Rangers Movie,9615840.0,8000000.0,3301135.0,3.6,99,7908.0,1.85
179,Double Team,36700000.0,30000000.0,5034914.0,4.8,93,30230.0,2.35
180,Anaconda,71000000.0,45000000.0,16620887.0,4.8,89,91192.0,2.39
181,Volcano,122823468.0,90000000.0,14581740.0,5.5,104,69665.0,1.85
182,Austin Powers: International Man of Mystery,67683989.0,17000000.0,9548111.0,7.0,94,213827.0,2.39
183,Fathers' Day,7000000.0,85000000.0,8776159.0,5.3,98,14125.0,2.35
184,The Lost World: Jurassic Park,618638999.0,73000000.0,90161880.0,6.6,129,361012.0,1.37
185,Con Air,224012234.0,75000000.0,24131738.0,6.9,115,266027.0,2.39
186,Speed 2: Cruise Control,115900000.0,160000000.0,16158942.0,3.9,121,71970.0,2.35
187,Batman & Robin,238207122.0,125000000.0,42872606.0,3.7,125,225804.0,1.85
188,Hercules,252712101.0,85000000.0,21454451.0,7.3,93,193389.0,1.66
189,My Best Friend's Wedding,172168576.0,46000000.0,21678377.0,6.3,105,122721.0,2.39
190,Face/Off,128000000.0,80000000.0,23387530.0,7.3,138,337110.0,2.39
191,Men in Black,589390539.0,90000000.0,51068455.0,7.3,98,496698.0,1.85
192,Contact,171120329.0,90000000.0,20584908.0,7.4,150,243402.0,2.39
193,G.I. Jane,97169156.0,50000000.0,11094241.0,5.9,125,70728.0,2.35
194,George of the Jungle,174463257.0,55000000.0,22878989.0,5.4,92,68210.0,1.37
195,Cop Land,18800000.0,10000000.0,13510482.0,6.9,105,82623.0,1.85
196,Spawn,87840042.0,40000000.0,21210131.0,5.3,96,61930.0,1.85
197,Picture Perfect,2900000.0,10000000.0,7809026.0,5.5,101,18260.0,1.85
198,Conspiracy Theory,136982834.0,75000000.0,19313566.0,6.7,135,90428.0,2.39
199,Air Force One,315156409.0,85000000.0,37132505.0,6.5,124,172945.0,2.39
200,The Hunt for Red October,200512643.0,30000000.0,17161835.0,7.6,135,170574.0,2.20
201,In & Out,83256929.0,35000000.0,15019821.0,6.4,90,37290.0,1.85
202,The Edge,6300000.0,30000000.0,7733445.0,6.9,117,65465.0,2.35
203,The Peacemaker,110463140.0,50000000.0,12311939.0,5.9,124,52397.0,2.39
204,L.A. Confidential,126216940.0,35000000.0,5211198.0,8.2,138,510649.0,2.39
205,Seven Years in Tibet,131457682.0,70000000.0,10066508.0,7.1,136,119833.0,2.35
206,Kiss the Girls,24500000.0,27000000.0,13215167.0,6.6,115,62208.0,2.35
207,The Game,109423648.0,50000000.0,14337029.0,7.8,129,327886.0,2.39
208,Fire Down Below,4000000.0,60000000.0,6073094.0,5.1,105,16094.0,1.85
209,I Know What You Did Last Summer,125586134.0,17000000.0,15818645.0,5.7,101,127867.0,2.35
210,The Devil's Advocate,92000000.0,57000000.0,12170536.0,7.5,144,313648.0,2.35
211,Gattaca,3600000.0,36000000.0,4320202.0,7.8,106,270023.0,2.39
212,One Night Stand,5600000.0,24000000.0,978819.0,5.8,102,6342.0,1.85
213,Boogie Nights,16700954.0,15000000.0,4681934.0,7.9,155,228078.0,1.66
214,Starship Troopers,121214377.0,105000000.0,22058773.0,7.2,129,258173.0,1.85
215,Mortal Kombat: Annihilation,15449455.0,30000000.0,16771694.0,3.7,95,44665.0,1.85
216,The Truman Show,264118201.0,60000000.0,31542121.0,8.1,103,880440.0,1.85
217,Red Corner,612335.0,48000000.0,7403362.0,6.3,122,15594.0,1.85
218,The Jackal,159330280.0,60000000.0,15164595.0,6.4,124,102882.0,2.39
219,Anastasia,139804348.0,50000000.0,14242807.0,7.1,94,106816.0,1.78
220,Alien: Resurrection,161376068.0,75000000.0,16474092.0,6.2,109,219460.0,2.39
221,Amistad,16200000.0,36000000.0,4661866.0,7.3,155,68196.0,1.85
222,Deconstructing Harry,23367935.0,20000000.0,356476.0,7.4,96,40906.0,1.85
223,Flubber,177977226.0,80000000.0,35892031.0,5.3,93,81145.0,1.85
224,Good Will Hunting,225933435.0,10000000.0,10261471.0,8.3,126,810475.0,1.85
225,Home Alone 3,48200000.0,32000000.0,5085482.0,4.4,102,100275.0,1.85
226,MouseHunt,122417389.0,38000000.0,6062922.0,6.4,98,49261.0,1.85
227,Scream 2,172363301.0,24000000.0,32926342.0,6.2,120,150352.0,2.35
228,Titanic,2186772302.0,200000000.0,28638131.0,7.8,194,998388.0,1.78
229,The Horse Whisperer,186883563.0,60000000.0,13685488.0,6.6,169,37743.0,1.85
230,Jackie Brown,74727492.0,12000000.0,9292248.0,7.5,154,301050.0,1.37
231,Mr. Magoo,7500000.0,30000000.0,5233631.0,4.0,87,13807.0,1.85
232,The Big Lebowski,46189568.0,15000000.0,5533844.0,8.1,117,692882.0,1.85
233,Great Expectations,55494066.0,25000000.0,9593290.0,6.9,111,49671.0,2.35
234,Wag the Dog,64217092.0,15000000.0,7778122.0,7.2,97,76414.0,1.85
235,Hard Rain,2600000.0,70000000.0,8009024.0,5.9,97,31171.0,2.35
236,The Replacement Killers,35100000.0,30000000.0,8046553.0,6.2,87,26189.0,2.39
237,Blues Brothers 2000,26000000.0,28000000.0,6129615.0,4.9,123,30541.0,1.85
238,The Wedding Singer,123306987.0,18000000.0,21917127.0,6.8,97,129350.0,1.85
239,Sphere,13100000.0,80000000.0,18586765.0,6.1,134,96293.0,2.39
240,As Good as It Gets,314178011.0,50000000.0,12606928.0,7.7,139,263692.0,1.85
241,U.S. Marshals,102367405.0,60000000.0,16863988.0,6.5,131,92185.0,1.85
242,Lost in Space,136159423.0,80000000.0,20154919.0,5.2,130,67993.0,2.39
243,Mercury Rising,93107289.0,60000000.0,10104715.0,6.1,111,64831.0,2.39
244,City of Angels,198685114.0,55000000.0,15369048.0,6.7,114,110012.0,2.39
245,Deep Impact,349464664.0,75000000.0,41152375.0,6.2,120,155960.0,2.39
246,Quest for Camelot,15400000.0,40000000.0,6041602.0,6.3,86,14050.0,1.85
247,Godzilla,242700000.0,130000000.0,55726951.0,5.4,139,176749.0,2.20
248,Hope Floats,81471882.0,30000000.0,14210464.0,6.0,114,23529.0,1.85
249,A Perfect Murder,128038368.0,60000000.0,16615704.0,6.5,107,75954.0,1.85
250,Six Days Seven Nights,90500000.0,70000000.0,16485276.0,5.8,102,70246.0,2.39
251,Mulan,304320254.0,90000000.0,22745143.0,7.6,88,236662.0,1.85
252,The X Files,105300000.0,66000000.0,30138758.0,7.0,121,98064.0,2.39
253,Doctor Dolittle,294456605.0,71500000.0,29014324.0,5.4,85,88660.0,1.33
254,Out of Sight,77745568.0,48000000.0,12020435.0,7.0,123,82013.0,1.85
255,Armageddon,553709788.0,140000000.0,36089972.0,6.7,151,382954.0,2.20
256,Lethal Weapon 4,285444603.0,140000000.0,34048124.0,6.6,127,148155.0,2.39
257,Small Soldiers,71282547.0,40000000.0,14047592.0,6.2,108,88806.0,2.39
258,There's Something About Mary,369884651.0,23000000.0,13740644.0,7.1,119,281752.0,1.85
259,Rocky,225000000.0,960000.0,5000000.0,8.1,120,493774.0,1.33
260,Terms of Endearment,55800000.0,8000000.0,3498813.0,7.4,132,51995.0,1.85
261,Out of Africa,266185197.0,31000000.0,3637290.0,7.2,161,68007.0,1.37
262,Rain Man,354825435.0,25000000.0,7005719.0,8.0,133,455870.0,1.85
263,Repo Man,3750080.0,1500000.0,95300.0,6.9,92,32027.0,1.85
264,The Breakfast Club,51525171.0,1000000.0,5107599.0,7.9,97,331768.0,1.85
265,Friday the 13th,59754601.0,550000.0,5816321.0,6.5,95,112144.0,1.85
266,Halloween II,25533818.0,2500000.0,7676836.0,6.5,92,70625.0,2.35
267,Child's Play,10952000.0,9000000.0,6583000.0,6.6,87,82863.0,1.85
268,Child's Play 2,35763605.0,13000000.0,10718520.0,5.8,84,42679.0,1.85
269,Poltergeist,123606280.0,20.0,6896612.0,7.3,114,135125.0,2.20
270,The Exorcist,441306145.0,12000000.0,8157666.0,8.0,122,347378.0,1.37
271,Lethal Weapon,120207127.0,15000000.0,6829949.0,7.6,109,227254.0,1.85
272,Lethal Weapon 2,227853986.0,28000000.0,20388800.0,7.2,114,155026.0,2.20
273,Lethal Weapon 3,175000000.0,35000000.0,33243086.0,6.7,118,151224.0,2.20
274,The Mask of Zorro,156193000.0,65000000.0,22525855.0,6.7,136,162351.0,2.39
275,Back to the Future Part III,244527583.0,40000000.0,19089645.0,7.4,118,380082.0,1.37
276,The Poseidon Adventure,2846713.0,5000000.0,264850.0,7.1,117,39187.0,2.20
277,The Godfather: Part III,136766062.0,54000000.0,19558558.0,7.6,162,339466.0,1.37
278,Jane Austen's Mafia!,30182538.0,10000000.0,6577961.0,5.6,87,14171.0,1.85
279,Saving Private Ryan,481840909.0,70000000.0,30576104.0,8.6,169,1170108.0,1.85
280,"Honey, I Shrunk the Kids",222724172.0,18000000.0,14200000.0,6.3,93,136076.0,1.85
281,The 'Burbs,49102000.0,18000000.0,11101197.0,6.9,102,64665.0,1.85
282,The Jungle Book,64000000.0,4000000.0,7708029.0,7.6,78,158249.0,1.75
283,Lady and the Tramp,1284360.0,4000000.0,2804272.0,7.3,76,115999.0,1.37
284,The Little Mermaid,211343479.0,40000000.0,9814520.0,7.6,83,225412.0,1.66
285,One Hundred and One Dalmatians,215880014.0,4000000.0,10279044.0,7.2,79,145111.0,1.33
286,Peter Pan,407872.0,4000000.0,5611785.0,7.3,77,119325.0,1.66
287,Sleeping Beauty,1420935.0,6000000.0,2548698.0,7.2,75,128764.0,2.20
288,Tall Tale,2800000.0,32000000.0,3046181.0,5.9,96,3228.0,2.35
289,Indiana Jones and the Temple of Doom,333107271.0,28000000.0,33936113.0,7.6,118,425514.0,2.20
290,Ever After: A Cinderella Story,98005666.0,26000000.0,8526904.0,7.0,121,66753.0,2.39
291,Snake Eyes,103891409.0,73000000.0,16310373.0,6.0,98,73389.0,1.33
292,The Avengers,48500000.0,60000000.0,10305957.0,3.8,89,39809.0,1.85
293,Blade,131183530.0,45000000.0,17073856.0,7.1,120,235199.0,2.39
294,Beetlejuice,10846736.0,15000000.0,8000000.0,7.5,92,245378.0,1.85
295,The Untouchables,106240936.0,25000000.0,10023094.0,7.9,119,265999.0,2.20
296,Broadcast News,67331309.0,20000000.0,197542.0,7.2,133,25631.0,1.85
297,Hero,66807345.0,42000000.0,5210875.0,6.5,119,20382.0,1.85
298,Indecent Proposal,266600000.0,38000000.0,18300000.0,5.9,117,59497.0,1.85
299,Rush Hour,244386864.0,33000000.0,33001803.0,7.0,98,229119.0,2.39
300,Urban Legend,34455157.0,14000000.0,10515444.0,5.6,99,57227.0,2.35
301,The Thing,7821228.0,15000000.0,3107897.0,8.1,109,349604.0,2.20
302,The Player,28876701.0,8000000.0,302216.0,7.5,124,51592.0,1.85
303,Edward Scissorhands,86024005.0,20000000.0,159622.0,7.9,105,428985.0,1.85
304,Antz,171757863.0,105000000.0,17195160.0,6.5,83,142349.0,1.85
305,What Dreams May Come,71485043.0,85000000.0,15833592.0,7.1,113,98927.0,2.39
306,My Cousin Vinny,64088552.0,11000000.0,7416751.0,7.6,120,100902.0,1.85
307,Bride of Chucky,18288000.0,25000000.0,11830855.0,5.4,89,50162.0,1.85
308,Practical Magic,68169816.0,48000000.0,13104694.0,6.3,104,68685.0,2.39
309,Pleasantville,49789066.0,40000000.0,8855063.0,7.5,124,117606.0,1.37
310,American History X,23875127.0,7500000.0,1340166.0,8.5,119,991598.0,1.85
311,The Siege,116672912.0,70000000.0,13931285.0,6.4,116,66401.0,2.35
312,The Waterboy,185991646.0,20000000.0,39414071.0,6.1,90,143050.0,1.85
313,I Still Know What You Did Last Summer,44000000.0,25000000.0,16520038.0,4.7,100,66032.0,2.35
314,Meet Joe Black,142940100.0,90000000.0,15017995.0,7.2,178,203755.0,1.85
315,Enemy of the State,250649836.0,90000000.0,20038573.0,7.3,132,220052.0,2.39
316,The Rugrats Movie,140894675.0,24000000.0,27321470.0,5.9,79,17381.0,1.66
317,A Bug's Life,363398565.0,60000000.0,33258052.0,7.2,95,256006.0,1.33
318,King Kong,90614445.0,24000000.0,7023921.0,5.9,134,28507.0,2.35
319,Fletch,59612888.0,8000000.0,7022970.0,6.9,98,45569.0,1.85
320,The Money Pit,17500000.0,10000000.0,5344555.0,6.4,91,48617.0,1.85
321,Police Academy 2: Their First Assignment,40766497.0,7600000.0,10675896.0,5.8,87,49148.0,1.85
322,Psycho,15685000.0,60000000.0,10031850.0,4.6,105,44230.0,1.85
323,Jack Frost,68760009.0,85000000.0,7104125.0,5.4,101,31521.0,2.39
324,Star Trek: Insurrection,119000000.0,58000000.0,22052836.0,6.4,103,67821.0,2.39
325,The Prince of Egypt,218613188.0,70000000.0,14524321.0,7.1,99,112678.0,1.66
326,Shakespeare in Love,289317794.0,25000000.0,4224426.0,7.1,123,207485.0,2.39
327,Rambo: First Blood Part II,300400432.0,44000000.0,25520843.0,6.5,96,147683.0,2.20
328,First Blood,125212904.0,15000000.0,6642005.0,7.7,93,215787.0,2.35
329,Rambo III,189015611.0,63000000.0,16745418.0,5.8,102,116818.0,2.35
330,The Jewel of the Nile,96773200.0,25000000.0,6645455.0,6.1,106,48512.0,2.35
331,Rocky II,200182160.0,7000000.0,6390537.0,7.3,119,182183.0,1.37
332,Rocky III,270000000.0,17000000.0,16015408.0,6.8,99,165269.0,1.37
333,Rocky IV,300400000.0,30000000.0,19991537.0,6.9,91,177993.0,1.37
334,Rocky V,119946358.0,42000000.0,14073170.0,5.3,104,121565.0,1.37
335,You've Got Mail,250821495.0,65000000.0,18426749.0,6.6,119,184660.0,1.85
336,The Thin Red Line,98126565.0,52000000.0,11362226.0,7.6,170,165674.0,2.35
337,Patch Adams,202292902.0,90000000.0,25262280.0,6.8,115,99346.0,2.39
338,Stepmom,68573131.0,50000000.0,19142440.0,6.8,125,57998.0,2.39
339,Virus,30626690.0,75000000.0,6013640.0,5.0,99,25538.0,2.39
340,Howard the Duck,37962774.0,35000000.0,5070136.0,4.7,110,41233.0,1.85
341,The Fly,20172594.0,15000000.0,7007423.0,7.5,96,151506.0,1.85
342,The Texas Chainsaw Massacre 2,5806.0,4700000.0,2822439.0,5.6,101,26139.0,1.85
343,She's All That,103166989.0,10000000.0,16065430.0,5.9,95,80927.0,1.85
344,Payback,161626121.0,90000000.0,21221526.0,7.1,100,127757.0,2.39
345,Blast from the Past,40246517.0,35000000.0,9160263.0,6.6,112,57352.0,2.39
346,Message in a Bottle,118880016.0,63000000.0,18852976.0,6.2,126,34421.0,2.39
347,Office Space,12179708.0,10000000.0,4231727.0,7.7,89,233733.0,1.85
348,Analyze This,176885658.0,80000000.0,18383507.0,6.7,103,141586.0,1.85
349,Cruel Intentions,75902208.0,10500000.0,258708.0,6.8,97,173392.0,1.85
350,The Deep End of the Ocean,27655433.0,38000000.0,5558400.0,6.4,106,12437.0,1.85
351,The Rage: Carrie 2,20162705.0,21000000.0,7065123.0,4.7,104,15005.0,1.85
352,Baby Geniuses,36341959.0,12000000.0,5613587.0,2.6,97,24461.0,1.85
353,Forces of Nature,93888180.0,75000000.0,13510728.0,5.4,105,31223.0,1.85
354,Edtv,8300000.0,80000000.0,8311290.0,6.1,122,40440.0,1.85
355,The Matrix,463517383.0,63000000.0,27788331.0,8.7,136,1588114.0,2.39
356,Never Been Kissed,29090474.0,25000000.0,11836707.0,6.1,107,80061.0,2.39
357,Life,73521587.0,80000000.0,20414775.0,6.8,108,43387.0,1.85
358,Entrapment,212404396.0,66000000.0,20145595.0,6.3,113,103414.0,2.35
359,The Mummy,415933406.0,80000000.0,43369635.0,7.0,124,377118.0,2.39
360,Star Wars: Episode I - The Phantom Menace,1027044677.0,115000000.0,22469932.0,6.5,136,695835.0,2.39
361,Mommie Dearest,25032261.0,5000000.0,905920.0,6.7,129,13557.0,1.85
362,Superman,166200000.0,55000000.0,7465343.0,7.3,143,153135.0,2.35
363,Superman II,26029578.0,54000000.0,14100523.0,6.8,127,94311.0,2.20
364,Austin Powers: The Spy Who Shagged Me,312016858.0,33000000.0,54917604.0,6.6,95,210088.0,2.39
365,Tarzan,448191819.0,130000000.0,34361342.0,7.3,88,192620.0,1.66
366,The General's Daughter,149705852.0,95000000.0,22332053.0,6.3,116,50890.0,2.39
367,Big Daddy,234801895.0,34200000.0,41536370.0,6.4,93,191676.0,1.85
368,"South Park: Bigger, Longer & Uncut",6000000.0,21000000.0,23076186.0,7.7,81,187329.0,1.33
369,Wild Wild West,222105681.0,170000000.0,49705055.0,4.9,106,148636.0,1.85
370,American Pie,132922000.0,11000000.0,18709680.0,7.0,95,362586.0,1.85
371,Arlington Road,41067311.0,31000000.0,7515145.0,7.2,117,78651.0,2.35
372,Muppets from Space,22323612.0,24000000.0,4826049.0,6.3,87,17421.0,1.85
373,The Blair Witch Project,248639099.0,60000.0,29207381.0,6.5,81,223362.0,1.33
374,Lake Placid,56870414.0,35000000.0,10974145.0,5.7,82,52518.0,2.39
375,Ghostbusters,291632124.0,30000000.0,2085116.0,7.8,105,339445.0,2.20
376,Ghostbusters II,215394738.0,37000000.0,29472894.0,6.6,108,175431.0,2.39
377,The Haunting,177311151.0,80000000.0,33435140.0,5.0,113,68932.0,2.35
378,Inspector Gadget,134403112.0,90000000.0,21889138.0,4.1,78,43685.0,1.85
379,Deep Blue Sea,164648142.0,60000000.0,19107643.0,5.8,105,119497.0,2.39
380,Runaway Bride,309457509.0,70000000.0,35055556.0,5.5,116,89733.0,2.39
381,The Color Purple,146292009.0,15000000.0,1710333.0,7.8,154,74194.0,1.85
382,The Iron Giant,80000000.0,70000000.0,5732614.0,8.0,86,164187.0,2.39
383,The Sixth Sense,672806292.0,40000000.0,26681262.0,8.1,107,875454.0,1.85
384,The Thomas Crown Affair,124305181.0,48000000.0,14600719.0,6.8,113,83837.0,2.39
385,Bowfinger,98625775.0,55000000.0,18062550.0,6.4,97,64283.0,1.37
386,Big,151668774.0,18000000.0,8216190.0,7.3,104,188277.0,1.85
387,Problem Child,72270900.0,10000000.0,10000000.0,5.5,81,27209.0,1.85
388,Tequila Sunrise,64639449.0,23000000.0,6350974.0,6.1,115,27602.0,1.85
389,The Pelican Brief,195268056.0,45000000.0,16600000.0,6.6,141,73106.0,2.35
390,Universal Soldier: The Return,19912120.0,28000000.0,4605167.0,4.2,83,27113.0,1.85
391,The 13th Warrior,29000000.0,160000000.0,10267756.0,6.6,102,113098.0,2.35
392,Stigmata,89446268.0,29000000.0,18309666.0,6.2,103,62462.0,2.35
393,American Beauty,226200000.0,15000000.0,861531.0,8.3,122,1026939.0,2.35
394,Stop Making Sense,5027479.0,1200000.0,21051.0,8.6,88,11772.0,1.85
395,Excalibur,11811616.0,11000000.0,4519706.0,7.4,140,55209.0,1.85
396,Double Jeopardy,177841558.0,70000000.0,23162542.0,6.5,105,68941.0,2.39
397,Drive Me Crazy,22593409.0,8500000.0,6846112.0,5.8,91,17523.0,1.85
398,Three Kings,107752036.0,45000000.0,15847636.0,7.1,114,156133.0,2.39
399,Random Hearts,74160911.0,64000000.0,13012585.0,5.2,133,19241.0,1.85
400,Total Recall,141905000.0,65000000.0,5788.0,7.5,113,288175.0,1.85
401,Home Alone 2: Lost in New York,358991681.0,18000000.0,31126882.0,6.7,120,284360.0,1.85
402,Fight Club,71000000.0,63000000.0,11035485.0,8.8,139,1761489.0,2.39
403,The Best Man,34573780.0,9000000.0,9031660.0,6.8,120,8800.0,1.85
404,The Bachelor,36822378.0,51000000.0,7480288.0,5.0,101,16234.0,1.85
405,The Bone Collector,151493655.0,73000000.0,16712020.0,6.7,118,147703.0,2.35
406,Fatal Attraction,163500000.0,14000000.0,7602740.0,6.9,119,71499.0,1.85
407,Midnight Run,81613606.0,30000000.0,5506290.0,7.5,126,68993.0,1.85
408,Backdraft,152368585.0,40000000.0,15723480.0,6.7,137,68489.0,2.20
409,End of Days,211989043.0,100000000.0,20523595.0,5.8,122,102856.0,2.39
410,Toy Story 2,485015179.0,90000000.0,57388839.0,7.9,92,502036.0,1.33
411,Tumbleweeds,1788168.0,312000.0,41202.0,6.7,102,3155.0,1.85
412,Deuce Bigalow: Male Gigolo,92938755.0,17000000.0,12224016.0,5.7,88,68489.0,1.85
413,The Green Mile,286801374.0,60000000.0,18017152.0,8.6,189,1076962.0,1.85
414,The Cider House Rules,88545092.0,24000000.0,110098.0,7.4,126,90383.0,2.39
415,Anna and the King,74733517.0,92000000.0,5223416.0,6.7,148,34849.0,2.39
416,Bicentennial Man,93700000.0,100000000.0,8234926.0,6.9,132,106026.0,1.85
417,Fantasia 2000,90874570.0,80000000.0,2911485.0,7.2,75,33446.0,1.43
418,Magnolia,25995827.0,37000000.0,193604.0,8.0,188,278861.0,2.39
419,Any Given Sunday,100230832.0,55000000.0,13584625.0,6.9,162,109089.0,2.39
420,Galaxy Quest,90683916.0,45000000.0,7012630.0,7.3,102,142441.0,2.39
421,The Talented Mr. Ripley,128798265.0,40000000.0,12738237.0,7.4,139,171442.0,1.85
422,Next Friday,59827328.0,11000000.0,16918226.0,6.2,98,35188.0,1.85
423,The Hurricane,73956241.0,50000000.0,337000.0,7.6,146,88564.0,1.85
