,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
39,The Bye Bye Man,23239232.0,7400000.0,13378000.0,4.2,96,19898.0,1.85
40,The Lego Batman Movie,311950384.0,80000000.0,53003468.0,7.3,104,124486.0,2.35
41,Rings,83018523.0,25000000.0,13002632.0,4.5,102,36011.0,1.85
42,Get Out,255457364.0,5000000.0,33377060.0,7.7,104,449867.0,2.39
43,Logan,619021436.0,97000000.0,88411916.0,8.1,137,605254.0,2.39
44,Kong: Skull Island,566652812.0,185000000.0,61025472.0,6.6,118,254502.0,2.39
45,Passage to Mars,3227000.0,2150000.0,126397.0,4.6,94,656.0,1.85
46,Before I Fall,12498674.0,5000000.0,4690214.0,6.4,98,42334.0,2.35
47,The Big Sick,44328624.0,5000000.0,7529590.0,7.5,120,112541.0,1.85
48,Beauty and the Beast,1263521126.0,160000000.0,174750616.0,7.1,129,255431.0,1.90
49,The Boss Baby,527965936.0,125000000.0,50198902.0,6.3,97,101156.0,2.39
50,Resident Evil: The Final Chapter,312242626.0,40000000.0,13601682.0,5.5,107,79361.0,2.39
51,Ghost in the Shell,169801921.0,110000000.0,18676033.0,6.3,107,187110.0,1.85
52,Fifty Shades Darker,374275967.0,55000000.0,46607250.0,4.6,118,86508.0,2.39
53,The Glass Castle,9764032.0,9000000.0,4678548.0,7.1,127,26737.0,2.35
54,The Shack,96942115.0,20000000.0,16172119.0,6.3,132,27970.0,2.35
55,Life,70307784.0,58000000.0,12501936.0,6.6,104,194565.0,2.39
56,The Lost City of Z,17509437.0,30000000.0,112633.0,6.6,141,72551.0,2.35
57,Power Rangers,142337240.0,100000000.0,40300288.0,5.9,124,97882.0,2.35
58,Alien: Covenant,240891763.0,97000000.0,36160621.0,6.4,122,240813.0,1.90
59,Going in Style,52488503.0,25000000.0,11932330.0,6.6,96,71402.0,2.39
60,Smurfs: The Lost Village,197183546.0,60000000.0,13210449.0,6.0,90,16939.0,1.85
61,Gifted,40193907.0,7000000.0,446380.0,7.6,101,90275.0,2.39
62,The Mummy,410333326.0,125000000.0,31688375.0,5.4,110,164667.0,16:9
63,Captain Underpants: The First Epic Movie,126577874.0,38000000.0,23851539.0,6.2,89,23560.0,1.85
64,It Comes at Night,19720203.0,5000000.0,5988370.0,6.2,91,76649.0,2.40:1
65,Cars 3,383889151.0,175000000.0,53688680.0,6.7,102,67096.0,2.35
66,The Beguiled,15871398.0,10500000.0,3163472.0,6.3,93,47401.0,1.66
67,Rough Night,44436928.0,20000000.0,8004283.0,5.2,101,43211.0,2.39
68,Despicable Me 3,1034799409.0,80000000.0,72434025.0,6.3,89,103529.0,1.78
69,War for the Planet of the Apes,490664238.0,150000000.0,56262929.0,7.4,140,214786.0,2.39
70,Kidnap,34836080.0,21000000.0,10016323.0,5.9,95,31303.0,2.39
71,An Inconvenient Sequel: Truth to Power,5398976.0,1000000.0,124823.0,6.4,98,7317.0,1.85
72,Transformers: The Last Knight,605425157.0,217000000.0,44680073.0,5.2,154,127959.0,1.90
73,The House,33281529.0,40000000.0,8724795.0,5.6,88,37917.0,2.35
74,The Dark Tower,113461527.0,60000000.0,19153698.0,5.6,95,119139.0,2.39
75,The Emoji Movie,217776646.0,50000000.0,24531923.0,3.2,86,52181.0,2.20
76,Wish Upon,14053908.0,16000000.0,5467084.0,5.0,90,16741.0,2.39:1
77,Girls Trip,140949423.0,19000000.0,31201920.0,6.2,122,32092.0,2.39
